,rf_fpr,rf_tpr,feat
0,0.0,0.0,glove
1,0.0,0.015194869264923533,glove
2,0.0,0.015589541193882585,glove
3,0.0,0.015688209176122347,glove
4,0.0,0.016872224962999508,glove
5,0.0,0.017069560927479032,glove
6,0.0,0.018549580661075482,glove
7,0.0,0.01884558460779477,glove
8,0.0,0.019338924518993588,glove
9,0.0,0.019930932412432167,glove
10,0.0,0.02002960039467193,glove
11,0.0,0.020424272323630983,glove
12,0.0,0.021114948199309324,glove
13,0.0,0.02131228416378885,glove
14,0.0,0.021706956092747903,glove
15,0.0,0.021805624074987668,glove
16,0.0,0.022792303897385298,glove
17,0.0,0.022890971879625063,glove
18,0.0,0.023285643808584115,glove
19,0.0,0.02377898371978293,glove
20,0.0,0.02437099161322151,glove
21,0.0,0.024864331524420327,glove
22,0.0,0.025160335471139616,glove
23,0.0,0.025555007400098667,glove
24,0.0,0.025752343364578194,glove
25,0.0,0.026344351258016773,glove
26,0.0,0.026443019240256535,glove
27,0.0,0.026640355204736062,glove
28,0.0,0.027035027133695117,glove
29,0.0,0.02723236309817464,glove
30,0.0,0.02742969906265417,glove
31,0.0,0.027824370991613223,glove
32,0.0,0.027923038973852985,glove
33,0.0,0.028811050814010853,glove
34,0.0,0.029107054760730142,glove
35,0.0,0.02960039467192896,glove
36,0.0,0.02969906265416872,glove
37,0.0,0.02989639861864825,glove
38,0.0,0.030587074494326592,glove
39,0.0,0.03088307844104588,glove
40,0.0,0.031080414405525406,glove
41,0.0,0.031672422298963984,glove
42,0.0,0.03206709422792304,glove
43,0.0,0.03226443019240256,glove
44,0.0,0.03236309817464233,glove
45,0.0,0.03265910212136162,glove
46,0.0,0.03364578194375925,glove
47,0.0,0.03394178589047854,glove
48,0.0,0.034040453872718306,glove
49,0.0,0.03423778983719783,glove
50,0.0,0.03502713369511593,glove
51,0.0,0.03522446965959546,glove
52,0.0,0.03561914158855451,glove
53,0.0,0.03581647755303404,glove
54,0.0,0.03670448939319191,glove
55,0.0,0.03690182535767143,glove
56,0.0,0.03729649728663049,glove
57,0.0,0.03759250123334978,glove
58,0.0,0.03838184509126789,glove
59,0.0,0.03857918105574741,glove
60,0.0,0.038677849037987176,glove
61,0.0,0.0388751850024667,glove
62,0.0,0.0396645288603848,glove
63,0.0,0.03986186482486433,glove
64,0.0,0.041736556487419835,glove
65,0.0,0.04193389245189936,glove
66,0.0,0.042032560434139124,glove
67,0.0,0.04232856438085841,glove
68,0.00020273694880892042,0.04292057227429699,glove
69,0.00020273694880892042,0.04301924025653675,glove
70,0.0003041054232133806,0.043117908238776516,glove
71,0.0003041054232133806,0.04321657622101628,glove
72,0.0006082108464267612,0.04321657622101628,glove
73,0.0006082108464267612,0.04351258016773557,glove
74,0.0006082108464267612,0.04538727183029107,glove
75,0.0006082108464267612,0.04568327577701036,glove
76,0.0006082108464267612,0.04657128761716823,glove
77,0.0006082108464267612,0.04676862358164775,glove
78,0.0006082108464267612,0.04716329551060681,glove
79,0.0006082108464267612,0.04736063147508633,glove
80,0.0007095793208312215,0.04736063147508633,glove
81,0.0007095793208312215,0.04755796743956586,glove
82,0.0007095793208312215,0.047755303404045386,glove
83,0.0007095793208312215,0.05002466699555994,glove
84,0.0008109477952356817,0.050222002960039466,glove
85,0.0008109477952356817,0.05170202269363591,glove
86,0.000912316269640142,0.05170202269363591,glove
87,0.000912316269640142,0.05229403058707449,glove
88,0.0010136847440446021,0.05229403058707449,glove
89,0.0010136847440446021,0.05288603848051307,glove
90,0.0011150532184490624,0.05288603848051307,glove
91,0.0011150532184490624,0.0530833744449926,glove
92,0.0013177901672579827,0.0530833744449926,glove
93,0.0013177901672579827,0.0538727183029107,glove
94,0.0013177901672579827,0.054070054267390234,glove
95,0.001419158641662443,0.05426739023186976,glove
96,0.001419158641662443,0.054366058214109524,glove
97,0.0016218955904713634,0.054366058214109524,glove
98,0.0016218955904713634,0.05525407005426739,glove
99,0.0017232640648758236,0.05525407005426739,glove
100,0.0017232640648758236,0.055648741983226446,glove
101,0.001824632539280284,0.055747409965466205,glove
102,0.001824632539280284,0.05722742969906265,glove
103,0.001926001013684744,0.05722742969906265,glove
104,0.001926001013684744,0.05732609768130242,glove
105,0.0020273694880892043,0.05732609768130242,glove
106,0.0020273694880892043,0.05781943759250123,glove
107,0.0021287379624936645,0.05781943759250123,glove
108,0.0021287379624936645,0.05831277750370005,glove
109,0.0021287379624936645,0.058510113468179574,glove
110,0.0021287379624936645,0.059003453379378394,glove
111,0.002230106436898125,0.059003453379378394,glove
112,0.002230106436898125,0.05929945732609768,glove
113,0.002230106436898125,0.05969412925505673,glove
114,0.002230106436898125,0.060582141095214606,glove
115,0.002230106436898125,0.06077947705969413,glove
116,0.002230106436898125,0.06176615688209176,glove
117,0.002331474911302585,0.06196349284657129,glove
118,0.002331474911302585,0.06265416872224963,glove
119,0.002331474911302585,0.06285150468672916,glove
120,0.002331474911302585,0.0635421805624075,glove
121,0.002432843385707045,0.0635421805624075,glove
122,0.002432843385707045,0.06403552047360632,glove
123,0.002534211860111505,0.06403552047360632,glove
124,0.002534211860111505,0.06452886038480513,glove
125,0.0026355803345159655,0.06452886038480513,glove
126,0.0026355803345159655,0.06551554020720277,glove
127,0.0026355803345159655,0.06571287617168228,glove
128,0.0026355803345159655,0.06600888011840157,glove
129,0.0026355803345159655,0.0662062160828811,glove
130,0.0026355803345159655,0.06739023186975826,glove
131,0.0027369488089204258,0.06739023186975826,glove
132,0.0027369488089204258,0.06788357178095708,glove
133,0.002838317283324886,0.06788357178095708,glove
134,0.002838317283324886,0.0683769116921559,glove
135,0.0029396857577293463,0.0683769116921559,glove
136,0.0029396857577293463,0.06857424765663542,glove
137,0.0029396857577293463,0.06877158362111495,glove
138,0.0029396857577293463,0.06965959546127282,glove
139,0.0029396857577293463,0.06985693142575235,glove
140,0.0029396857577293463,0.07044893931919093,glove
141,0.0031424227065382664,0.07044893931919093,glove
142,0.0031424227065382664,0.07074494326591022,glove
143,0.0032437911809427267,0.07074494326591022,glove
144,0.0032437911809427267,0.0713369511593488,glove
145,0.003345159655347187,0.0713369511593488,glove
146,0.003345159655347187,0.07153428712382832,glove
147,0.0034465281297516473,0.07153428712382832,glove
148,0.0034465281297516473,0.07311297483966453,glove
149,0.0035478966041561076,0.07311297483966453,glove
150,0.0035478966041561076,0.07439565860878145,glove
151,0.0037506335529650277,0.07439565860878145,glove
152,0.0037506335529650277,0.07479033053774051,glove
153,0.003852002027369488,0.07479033053774051,glove
154,0.003852002027369488,0.07577701036013813,glove
155,0.003852002027369488,0.07597434632461766,glove
156,0.003852002027369488,0.07607301430685742,glove
157,0.003953370501773948,0.07607301430685742,glove
158,0.0040547389761784085,0.07617168228909718,glove
159,0.0040547389761784085,0.07627035027133695,glove
160,0.0040547389761784085,0.07646768623581648,glove
161,0.0040547389761784085,0.07676369018253577,glove
162,0.0040547389761784085,0.07745436605821411,glove
163,0.0040547389761784085,0.07765170202269364,glove
164,0.0040547389761784085,0.07794770596941293,glove
165,0.004156107450582869,0.07794770596941293,glove
166,0.004156107450582869,0.07824370991613222,glove
167,0.004156107450582869,0.07844104588061174,glove
168,0.004156107450582869,0.07913172175629009,glove
169,0.004156107450582869,0.0793290577207696,glove
170,0.004257475924987329,0.0793290577207696,glove
171,0.004257475924987329,0.07982239763196843,glove
172,0.004358844399391789,0.07982239763196843,glove
173,0.004358844399391789,0.08297977306364085,glove
174,0.00446021287379625,0.08297977306364085,glove
175,0.00446021287379625,0.08406512086827825,glove
176,0.00456158134820071,0.08406512086827825,glove
177,0.00456158134820071,0.084163788850518,glove
178,0.00476431829700963,0.084163788850518,glove
179,0.00476431829700963,0.08534780463739516,glove
180,0.00486568677141409,0.08534780463739516,glove
181,0.00486568677141409,0.08593981253083374,glove
182,0.00496705524581855,0.08593981253083374,glove
183,0.00496705524581855,0.0860384805130735,glove
184,0.00506842372022301,0.0860384805130735,glove
185,0.00506842372022301,0.0863344844597928,glove
186,0.005169792194627471,0.0863344844597928,glove
187,0.005169792194627471,0.0866304884065121,glove
188,0.005271160669031931,0.0866304884065121,glove
189,0.005271160669031931,0.08751850024666996,glove
190,0.0054738976178408515,0.08751850024666996,glove
191,0.0054738976178408515,0.08840651208682783,glove
192,0.005575266092245312,0.08840651208682783,glove
193,0.005575266092245312,0.08860384805130735,glove
194,0.005676634566649772,0.08860384805130735,glove
195,0.005676634566649772,0.08899851998026641,glove
196,0.005676634566649772,0.08919585594474592,glove
197,0.005676634566649772,0.08939319190922546,glove
198,0.005778003041054232,0.08939319190922546,glove
199,0.005778003041054232,0.08998519980266403,glove
200,0.005879371515458693,0.08998519980266403,glove
201,0.005879371515458693,0.09018253576714357,glove
202,0.005980739989863153,0.09018253576714357,glove
203,0.005980739989863153,0.09047853971386285,glove
204,0.006082108464267613,0.09047853971386285,glove
205,0.006082108464267613,0.09146521953626048,glove
206,0.006183476938672073,0.09156388751850025,glove
207,0.006183476938672073,0.09205722742969906,glove
208,0.006284845413076533,0.09205722742969906,glove
209,0.006284845413076533,0.0930439072520967,glove
210,0.006386213887480993,0.0930439072520967,glove
211,0.006386213887480993,0.09324124321657622,glove
212,0.0064875823618854534,0.09324124321657622,glove
213,0.0064875823618854534,0.09393191909225457,glove
214,0.0064875823618854534,0.09412925505673408,glove
215,0.0064875823618854534,0.09531327084361124,glove
216,0.006588950836289914,0.09531327084361124,glove
217,0.006588950836289914,0.09629995066600888,glove
218,0.006690319310694374,0.09629995066600888,glove
219,0.006690319310694374,0.09699062654168722,glove
220,0.006791687785098834,0.09699062654168722,glove
221,0.006791687785098834,0.09787863838184509,glove
222,0.0068930562595032946,0.09787863838184509,glove
223,0.0068930562595032946,0.09817464232856438,glove
224,0.0068930562595032946,0.09837197829304391,glove
225,0.0068930562595032946,0.09876665022200296,glove
226,0.006994424733907755,0.09876665022200296,glove
227,0.006994424733907755,0.09925999013320178,glove
228,0.007095793208312215,0.09925999013320178,glove
229,0.007095793208312215,0.09965466206216082,glove
230,0.007298530157121136,0.09965466206216082,glove
231,0.007298530157121136,0.09985199802664035,glove
232,0.007399898631525596,0.09985199802664035,glove
233,0.007399898631525596,0.09995066600888011,glove
234,0.007399898631525596,0.10014800197335964,glove
235,0.007399898631525596,0.1002466699555994,glove
236,0.007501267105930055,0.1002466699555994,glove
237,0.007501267105930055,0.10113468179575728,glove
238,0.007501267105930055,0.1013320177602368,glove
239,0.007501267105930055,0.10202269363591515,glove
240,0.007602635580334516,0.10202269363591515,glove
241,0.007602635580334516,0.10212136161815491,glove
242,0.007602635580334516,0.10231869758263444,glove
243,0.007602635580334516,0.1024173655648742,glove
244,0.007704004054738976,0.1024173655648742,glove
245,0.007704004054738976,0.10291070547607302,glove
246,0.007805372529143436,0.10291070547607302,glove
247,0.007805372529143436,0.10330537740503207,glove
248,0.007906741003547896,0.10330537740503207,glove
249,0.007906741003547896,0.1035027133695116,glove
250,0.008008109477952358,0.1035027133695116,glove
251,0.008008109477952358,0.10468672915638876,glove
252,0.008109477952356817,0.10468672915638876,glove
253,0.008109477952356817,0.10518006906758756,glove
254,0.008109477952356817,0.10537740503206709,glove
255,0.008109477952356817,0.10547607301430685,glove
256,0.008312214901165738,0.10547607301430685,glove
257,0.008312214901165738,0.10577207696102614,glove
258,0.008312214901165738,0.10587074494326591,glove
259,0.008413583375570197,0.10587074494326591,glove
260,0.008413583375570197,0.10606808090774544,glove
261,0.008514951849974658,0.10606808090774544,glove
262,0.008514951849974658,0.10636408485446473,glove
263,0.008514951849974658,0.10656142081894425,glove
264,0.008514951849974658,0.10685742476566354,glove
265,0.008514951849974658,0.10705476073014307,glove
266,0.008616320324379118,0.10705476073014307,glove
267,0.008616320324379118,0.10853478046373952,glove
268,0.008819057273188038,0.10853478046373952,glove
269,0.008819057273188038,0.1088307844104588,glove
270,0.009021794221996959,0.1088307844104588,glove
271,0.00912316269640142,0.10892945239269856,glove
272,0.00912316269640142,0.1091267883571781,glove
273,0.00922453117080588,0.1091267883571781,glove
274,0.00922453117080588,0.1099161322150962,glove
275,0.00932589964521034,0.1099161322150962,glove
276,0.00932589964521034,0.11119881598421312,glove
277,0.0094272681196148,0.11119881598421312,glove
278,0.0094272681196148,0.11267883571780957,glove
279,0.00952863659401926,0.11267883571780957,glove
280,0.00952863659401926,0.11346817957572768,glove
281,0.00952863659401926,0.11366551554020721,glove
282,0.00973137354282818,0.11366551554020721,glove
283,0.00973137354282818,0.11386285150468672,glove
284,0.009832742017232641,0.11386285150468672,glove
285,0.009832742017232641,0.1139615194869265,glove
286,0.009832742017232641,0.11415885545140601,glove
287,0.009832742017232641,0.11475086334484459,glove
288,0.0099341104916371,0.11475086334484459,glove
289,0.0099341104916371,0.11623088307844105,glove
290,0.010035478966041561,0.11623088307844105,glove
291,0.010035478966041561,0.11741489886531821,glove
292,0.01013684744044602,0.11741489886531821,glove
293,0.01013684744044602,0.11761223482979773,glove
294,0.01013684744044602,0.11780957079427726,glove
295,0.01013684744044602,0.11800690675875679,glove
296,0.010238215914850482,0.11800690675875679,glove
297,0.010238215914850482,0.1182042427232363,glove
298,0.010339584389254941,0.1182042427232363,glove
299,0.010339584389254941,0.11909225456339417,glove
300,0.010542321338063862,0.11909225456339417,glove
301,0.010542321338063862,0.12106561420818944,glove
302,0.010643689812468323,0.12106561420818944,glove
303,0.010643689812468323,0.12116428219042921,glove
304,0.010745058286872783,0.12116428219042921,glove
305,0.010745058286872783,0.12155895411938826,glove
306,0.010846426761277242,0.12155895411938826,glove
307,0.010846426761277242,0.12215096201282684,glove
308,0.011049163710086162,0.12215096201282684,glove
309,0.011049163710086162,0.1222496299950666,glove
310,0.011150532184490624,0.1222496299950666,glove
311,0.011150532184490624,0.12274296990626542,glove
312,0.011353269133299544,0.12274296990626542,glove
313,0.011353269133299544,0.12392698569314257,glove
314,0.011454637607704004,0.12392698569314257,glove
315,0.011454637607704004,0.12659102121361618,glove
316,0.011657374556512924,0.12659102121361618,glove
317,0.011657374556512924,0.12688702516033548,glove
318,0.011860111505321845,0.12688702516033548,glove
319,0.011860111505321845,0.127084361124815,glove
320,0.011961479979726306,0.127084361124815,glove
321,0.011961479979726306,0.12738036507153427,glove
322,0.012062848454130765,0.12738036507153427,glove
323,0.012062848454130765,0.12767636901825358,glove
324,0.012164216928535226,0.12767636901825358,glove
325,0.012164216928535226,0.12846571287617167,glove
326,0.012265585402939686,0.12846571287617167,glove
327,0.012265585402939686,0.12866304884065122,glove
328,0.012366953877344145,0.12876171682289098,glove
329,0.012468322351748606,0.12876171682289098,glove
330,0.012468322351748606,0.12935372471632955,glove
331,0.012569690826153066,0.12935372471632955,glove
